78, 62, 0, 75, 70, 77, 69, 80, 69, 66, 0, 78, 0, 0, 62, 0,
79, 62, 0, 77, 67, 76, 67, 82, 69, 66, 0, 78, 0, 0, 60, 0,
77, 62, 0, 76, 66, 75, 68, 85, 71, 67, 0, 0, 0, 0, 0, 0,
76, 63, 0, 74, 0, 78, 69, 87, 71, 68, 0, 0, 0, 0, 0, 0,
77, 64, 0, 76, 64, 78, 66, 89, 70, 70, 0, 0, 0, 0, 0, 0,
0, 66, 0, 0, 63, 76, 69, 92, 68, 73, 0, 0, 0, 0, 0, 0,
0, 68, 0, 75, 61, 75, 0, 91, 0, 75, 0, 0, 0, 0, 54, 0,
0, 70, 0, 73, 62, 74, 0, 90, 0, 78, 0, 0, 0, 0, 55, 0,
0, 68, 0, 74, 62, 76, 0, 87, 0, 77, 0, 0, 92, 0, 0, 0,
0, 67, 0, 71, 60, 0, 0, 90, 0, 0, 0, 0, 94, 0, 56, 0,
0, 65, 0, 71, 60, 74, 0, 92, 0, 77, 0, 0, 93, 0, 0, 0,
0, 66, 73, 0, 62, 73, 0, 94, 0, 76, 0, 0, 92, 0, 0, 0,
0, 65, 70, 0, 63, 76, 0, 91, 0, 75, 0, 0, 89, 0, 0, 0,
0, 63, 70, 0, 64, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,
0, 64, 0, 0, 67, 78, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0,
87, 0, 0, 0, 70, 79, 0, 92, 0, 0, 0, 0, 0, 0, 56, 0,
87, 66, 0, 0, 72, 77, 0, 91, 0, 0, 0, 0, 0, 0, 54, 0,
86, 69, 0, 69, 73, 77, 0, 90, 0, 70, 0, 65, 0, 0, 53, 0,
0, 70, 0, 68, 76, 78, 56, 89, 0, 70, 0, 0, 94, 87, 53, 0,
0, 73, 0, 0, 0, 79, 56, 86, 0, 0, 0, 65, 95, 86, 53, 0,
0, 72, 0, 0, 77, 78, 59, 85, 0, 0, 0, 63, 97, 0, 0, 0,
0, 69, 0, 0, 80, 76, 61, 83, 74, 0, 0, 63, 96, 81, 0, 67,
0, 69, 0, 0, 79, 76, 64, 81, 73, 0, 69, 65, 93, 79, 0, 67,
0, 0, 0, 0, 77, 74, 65, 80, 72, 0, 70, 67, 90, 77, 0, 68,
0, 0, 0, 71, 75, 0, 68, 82, 71, 0, 69, 68, 87, 0, 0, 68,
0, 0, 76, 73, 73, 74, 0, 83, 69, 78, 67, 69, 86, 52, 0, 0,
0, 0, 77, 72, 70, 73, 0, 84, 70, 76, 69, 68, 88, 53, 0, 66,
0, 0, 75, 70, 68, 71, 0, 86, 70, 77, 71, 70, 91, 0, 0, 66,
0, 0, 74, 70, 65, 70, 0, 0, 69, 0, 0, 71, 90, 53, 0, 67,
0, 0, 75, 0, 62, 70, 69, 0, 67, 0, 73, 72, 87, 0, 0, 70,
0, 0, 76, 0, 63, 67, 0, 0, 64, 0, 72, 73, 0, 0, 0, 73,
0, 0, 0, 0, 62, 65, 66, 0, 0, 0, 74, 76, 84, 0, 0, 75,
0, 0, 73, 0, 61, 64, 64, 0, 0, 0, 0, 78, 81, 0, 0, 76,
0, 0, 73, 0, 62, 65, 62, 75, 0, 0, 76, 80, 80, 68, 0, 78,
0, 61, 72, 0, 64, 68, 62, 78, 0, 0, 76, 0, 78, 69, 0, 78,
0, 62, 73, 73, 0, 71, 61, 79, 0, 69, 74, 83, 75, 0, 0, 76,
