0.001 sec,,20.0 sec,,60.0 sec,
2047.021,69,10020.0,79,#SAKNAS,#SAKNAS
2051.026,70,10040.0,87,#SAKNAS,#SAKNAS
2055.001,73,10060.0,78,#SAKNAS,#SAKNAS
2059.013,75,10080.0,73,#SAKNAS,#SAKNAS
2063.026,73,10100.0,75,#SAKNAS,#SAKNAS
2067.001,71,10120.0,74,#SAKNAS,#SAKNAS
2071.014,68,10140.0,77,#SAKNAS,#SAKNAS
2075.026,70,10160.0,77,#SAKNAS,#SAKNAS
2079.007,72,10180.0,73,#SAKNAS,#SAKNAS
2079.524,0,10200.0,73,#SAKNAS,#SAKNAS
2083.011,70,10220.0,78,#SAKNAS,#SAKNAS
2087.024,70,10240.0,78,#SAKNAS,#SAKNAS
2091.003,70,10260.0,78,#SAKNAS,#SAKNAS
2095.011,70,10280.0,76,#SAKNAS,#SAKNAS
2099.046,71,10300.0,71,#SAKNAS,#SAKNAS
2103.002,68,10320.0,75,#SAKNAS,#SAKNAS
2107.014,65,10340.0,81,#SAKNAS,#SAKNAS
2111.026,67,10360.0,80,#SAKNAS,#SAKNAS
2115.003,65,10380.0,84,#SAKNAS,#SAKNAS
2119.014,0,10400.0,81,#SAKNAS,#SAKNAS
2126.026,0,10420.0,74,#SAKNAS,#SAKNAS
2133.002,0,10440.0,73,#SAKNAS,#SAKNAS
2139.524,0,10460.0,79,#SAKNAS,#SAKNAS
2140.015,0,10480.0,78,#SAKNAS,#SAKNAS
2147.027,68,10500.0,70,#SAKNAS,#SAKNAS
2154.0,68,10520.0,75,#SAKNAS,#SAKNAS
2155.014,67,10540.0,76,#SAKNAS,#SAKNAS
2162.027,67,10560.0,71,#SAKNAS,#SAKNAS
2163.001,67,10580.0,66,#SAKNAS,#SAKNAS
2167.015,68,10600.0,67,#SAKNAS,#SAKNAS
2171.027,71,10620.0,66,#SAKNAS,#SAKNAS
2175.002,74,10640.0,74,#SAKNAS,#SAKNAS
2179.013,77,10660.0,81,#SAKNAS,#SAKNAS
2183.026,78,10680.0,75,#SAKNAS,#SAKNAS
2187.007,80,10700.0,78,#SAKNAS,#SAKNAS
2191.02,82,10720.0,82,#SAKNAS,#SAKNAS
2195.034,81,10740.0,84,#SAKNAS,#SAKNAS
2199.003,79,10760.0,82,#SAKNAS,#SAKNAS
2199.524,0,10780.0,73,#SAKNAS,#SAKNAS
2203.014,78,10800.0,69,#SAKNAS,#SAKNAS
2207.032,79,10820.0,69,#SAKNAS,#SAKNAS
2211.008,81,10840.0,71,#SAKNAS,#SAKNAS
2215.012,80,10860.0,66,#SAKNAS,#SAKNAS
2219.025,77,10880.0,65,#SAKNAS,#SAKNAS
2222.999,78,10900.0,73,#SAKNAS,#SAKNAS
2227.014,79,10920.0,71,#SAKNAS,#SAKNAS
2231.031,78,10940.0,75,#SAKNAS,#SAKNAS
2235.001,77,10960.0,73,#SAKNAS,#SAKNAS
2239.015,76,10980.0,73,#SAKNAS,#SAKNAS
2243.027,77,11000.0,77,#SAKNAS,#SAKNAS
2247.002,77,11020.0,82,#SAKNAS,#SAKNAS
2251.012,75,11040.0,75,#SAKNAS,#SAKNAS
2255.025,73,11060.0,71,#SAKNAS,#SAKNAS
2259.0,71,11080.0,75,#SAKNAS,#SAKNAS
