<1h,1-3h,3-6h,>6h
7.46,55.88,121.94,
11.1,9.51,80.03,
6.69,37.5,39.25,
4.96,10.95,14.0,
7.83,24.13,6.83,
10.87,36.86,7.51,
10.84,44.93,17.55,
0.79,5.77,52.62,
15.01,65.85,39.98,
2.46,13.48,47.47,
5.41,5.0,131.69,
1.39,0.29,58.77,
3.16,6.04,94.22,
7.32,46.1,81.16,
12.71,17.47,37.09,
5.05,0.81,36.12,
0.37,6.26,38.83,
9.97,0.22,50.63,
5.98,2.33,46.23,
12.91,66.38,83.88,
2.1,19.96,66.04,
5.64,4.76,97.56,
19.35,53.8,25.69,
15.91,18.38,5.67,
3.04,15.72,17.95,
2.59,8.55,18.16,
13.17,7.5,51.05,
1.55,2.26,29.93,
1.07,7.71,66.26,
4.74,72.09,26.02,
14.45,46.74,78.65,
1.95,8.32,1.9,
21.05,8.04,9.5,
4.51,13.53,126.5,
1.39,38.93,2.16,
7.4,12.94,36.7,
4.08,39.86,55.66,
34.06,10.15,13.7,
6.74,10.82,12.22,
6.36,26.04,15.56,
3.5,11.16,10.01,
7.76,7.12,37.93,
5.53,24.06,13.99,
2.25,81.08,18.25,
1.26,3.59,80.76,
21.0,23.85,31.11,
17.9,49.66,66.91,
14.34,24.29,29.29,
3.27,24.6,3.7,
2.51,22.19,75.79,
17.1,11.89,13.95,
9.07,3.84,29.64,
28.23,4.56,52.49,
8.33,8.51,44.7,
1.33,21.47,26.51,
1.16,3.54,49.12,
1.41,15.16,23.08,
8.24,21.81,38.82,
3.99,18.44,3.46,
1.4,16.37,34.85,
5.4,46.2,42.88,
2.26,30.29,17.18,
4.42,46.51,48.73,
7.62,17.13,49.28,
6.07,19.28,16.02,
7.62,66.54,41.38,
2.73,22.54,20.48,
20.65,6.06,43.62,
10.44,10.64,37.97,
15.19,20.14,5.94,
4.32,20.16,10.26,
4.15,27.98,59.02,
13.4,0.95,37.88,
10.94,7.61,12.5,
12.74,2.48,4.46,
0.21,48.11,11.0,
3.58,23.59,24.04,
13.09,7.98,4.28,
3.23,50.39,18.3,
2.09,27.46,15.61,
4.31,18.25,41.0,
6.68,37.13,56.82,
24.5,9.5,0.42,
14.3,15.75,49.87,
2.28,29.14,12.07,
3.59,27.7,5.66,
18.25,2.74,0.32,
8.76,10.74,14.5,
18.69,28.03,27.55,
1.05,12.47,50.44,
6.15,27.43,39.68,
2.67,3.69,44.86,
1.26,17.14,1.2,
27.9,4.78,71.47,
12.79,4.25,15.38,
5.18,98.24,56.93,
14.66,2.69,23.21,
5.0,40.63,7.81,
9.72,27.04,39.26,
4.22,13.04,10.99,
2.37,24.12,66.76,
1.56,3.84,31.98,
1.04,21.84,28.74,
6.35,17.26,13.01,
26.72,6.93,28.87,
17.51,20.81,18.2,
4.24,28.01,30.22,
7.74,11.73,6.26,
5.59,16.58,33.52,
2.88,28.42,43.55,
7.92,0.22,26.92,
2.63,12.6,27.03,
1.43,57.64,37.1,
2.28,9.21,10.72,
18.71,20.99,20.12,
2.17,10.05,16.72,
8.42,34.66,3.03,
13.41,17.34,26.56,
18.98,5.85,34.56,
12.29,16.31,60.61,
9.7,12.91,14.47,
0.59,40.95,12.11,
3.2,31.28,88.78,
0.16,27.29,2.75,
7.65,2.06,11.19,
17.49,22.86,6.12,
2.99,27.87,91.67,
0.57,21.56,43.39,
10.88,99.18,21.58,
3.54,30.36,37.58,
8.69,4.99,19.5,
2.84,0.73,65.64,
14.0,7.32,15.21,
3.68,0.53,70.06,
10.7,20.96,58.43,
1.76,4.01,21.8,
7.37,15.02,55.33,
8.33,11.56,91.01,
0.14,5.58,14.6,
2.69,18.44,5.94,
5.73,0.22,11.77,
13.12,1.68,18.13,
5.22,28.06,9.43,
12.07,6.47,84.62,
7.53,36.39,34.54,
1.14,17.02,47.24,
21.14,35.25,2.6,
24.47,15.12,29.0,
6.68,8.12,15.64,
8.64,31.77,7.48,
0.95,46.33,24.71,
