<1h,1-3h,3-6h,>6h
28.27,2.02,7.04,23.75
21.52,19.13,10.63,15.77
1.24,12.43,8.41,8.74
2.0,3.05,21.1,40.57
0.02,15.3,20.2,14.86
9.33,12.26,9.22,523.42
0.02,6.52,5.77,294.59
23.72,24.89,27.72,1.55
0.02,21.51,12.76,490.65
0.02,10.63,14.06,433.5
0.02,20.83,0.52,3.57
4.94,19.01,0.14,284.38
4.94,2.18,13.13,27.25
0.02,6.77,13.34,29.04
4.73,13.28,17.53,17.43
16.28,5.84,8.49,8.62
1.41,12.59,10.73,193.88
7.33,20.89,21.45,4.62
1.86,23.72,16.01,186.91
4.75,10.65,0.73,121.41
3.92,8.16,47.04,40.95
4.4,16.22,32.56,1.46
0.02,7.29,18.89,7.66
3.72,8.81,30.26,485.99
0.23,2.07,41.12,8.17
0.02,11.9,23.57,98.71
0.19,3.2,47.65,2.89
0.02,6.06,43.45,12.49
0.02,4.58,1.7,485.63
0.02,2.65,32.31,29.23
0.02,1.94,32.45,422.08
0.02,9.83,3.19,4.57
0.02,1.81,5.85,5.91
6.79,3.29,1.25,7.34
0.02,0.41,15.56,38.26
6.07,10.95,4.79,7.44
4.79,4.2,3.03,8.81
0.02,1.2,18.64,109.56
0.02,0.96,15.76,7.83
0.85,9.81,5.85,57.33
0.02,16.92,13.95,18.2
1.99,3.9,6.42,7.21
0.02,16.85,5.62,13.47
0.02,11.47,9.73,0.18
1.09,0.92,9.07,184.05
0.02,2.85,3.57,23.01
0.02,10.72,13.94,7.37
0.02,4.67,2.63,6.77
8.64,9.27,4.7,99.17
1.55,18.8,4.69,24.61
0.02,0.78,2.02,5.63
0.02,11.3,4.19,98.28
0.02,5.22,1.47,11.35
1.65,8.04,1.46,7.32
0.04,0.34,12.86,3.59
0.16,10.15,2.25,1.02
0.46,4.6,0.55,5.83
0.52,5.9,1.2,28.2
1.29,9.39,5.63,17.72
0.19,11.7,13.66,7.37
0.02,0.47,0.84,28.7
0.02,1.54,4.4,262.2
0.02,3.89,8.46,484.28
1.26,5.94,4.98,26.03
0.02,21.39,9.74,7.35
2.49,8.54,16.47,18.42
0.02,5.4,14.22,18.76
6.99,1.96,5.1,101.88
0.02,0.02,12.61,340.54
2.0,15.7,8.29,92.08
0.02,14.21,9.84,0.26
1.96,8.07,8.29,483.42
0.02,2.31,3.86,34.26
0.02,5.22,1.52,9.42
0.02,2.16,3.54,77.85
0.02,9.07,3.8,11.63
4.77,0.38,11.95,6.8
0.02,5.45,4.59,62.32
2.07,7.31,3.32,179.59
5.84,6.52,3.26,16.99
0.02,17.35,7.21,32.5
0.17,1.98,5.15,54.95
1.78,1.47,3.79,8.29
0.25,3.01,2.1,8.57
0.02,2.85,0.89,521.45
0.99,4.57,8.48,258.16
2.17,6.32,4.21,13.09
0.02,6.72,0.36,1.48
0.41,1.56,4.65,69.96
0.02,4.96,3.53,85.88
0.02,2.89,6.4,10.1
0.02,3.3,17.33,0.23
0.02,13.1,6.58,81.73
0.02,8.63,1.75,0.07
0.02,0.5,3.31,339.76
0.02,10.53,15.1,12.54
0.02,4.08,0.77,30.06
0.02,0.4,7.87,4.44
0.02,1.89,8.5,7.1
1.63,3.15,10.66,7.83
0.02,4.41,1.57,5.94
1.51,3.15,7.86,9.78
0.02,3.79,1.65,4.42
1.0,1.92,1.61,0.83
0.02,8.74,7.06,8.13
0.02,8.7,0.28,9.54
0.02,4.25,7.41,334.74
0.02,10.33,5.59,155.07
0.02,1.81,12.78,13.45
0.02,8.97,4.46,325.41
0.02,4.92,10.46,324.47
0.02,0.57,5.86,17.63
6.58,4.91,10.75,318.41
2.24,3.85,15.71,9.44
6.98,3.69,15.07,32.84
0.57,0.28,4.77,4.13
8.19,1.3,1.99,212.4
3.31,0.82,5.32,31.54
0.02,5.58,2.54,134.78
0.02,4.34,12.99,13.36
0.02,3.99,16.69,6.51
6.57,14.85,1.67,111.19
4.2,4.81,20.86,128.23
0.02,0.49,11.55,20.83
2.21,3.24,5.25,65.5
0.02,0.88,14.48,6.87
2.92,8.34,7.21,209.79
0.02,2.42,10.44,18.12
0.02,7.58,16.88,4.32
0.14,8.72,3.88,3.05
1.0,7.15,6.06,6.73
1.98,8.56,18.7,2.23
0.49,6.21,3.91,5.63
3.31,3.79,19.84,1.74
5.05,2.11,2.56,110.18
0.02,1.96,3.49,204.12
0.39,2.36,0.44,16.66
0.02,5.25,15.81,5.49
0.02,4.22,25.11,16.74
0.02,5.8,22.08,75.14
0.02,11.09,4.14,11.37
0.02,1.87,5.29,5.64
0.02,2.28,14.27,9.28
0.02,1.02,4.4,140.01
3.31,8.54,47.15,12.0
3.59,6.63,31.98,302.17
1.43,7.7,3.08,12.37
0.02,5.33,7.88,6.87
0.02,16.41,8.26,16.55
2.81,12.03,26.4,15.95
1.99,1.39,8.24,7.68
0.03,2.26,17.15,1.31
0.03,40.85,13.0,24.13
0.03,7.23,8.85,18.38
0.03,9.36,15.55,3.96
4.26,1.06,10.12,10.11
3.31,12.9,14.82,41.24
0.03,24.23,10.99,0.07
6.64,10.58,9.63,518.6
6.28,3.15,11.97,5.69
6.72,2.4,14.28,4.24
1.15,10.08,12.47,472.66
3.31,10.07,2.57,15.57
0.03,9.22,1.65,11.0
0.03,0.23,6.39,9.56
0.03,0.74,13.22,104.02
4.51,6.31,4.57,97.65
0.03,21.41,5.28,5.96
0.03,18.04,6.45,12.5
0.03,23.78,2.61,193.96
0.6,4.99,16.68,187.45
0.03,2.84,2.64,1.1
1.16,5.47,7.11,30.21
0.03,6.59,0.58,149.59
0.86,2.42,0.8,3.88
0.03,8.02,7.42,4.82
0.03,6.57,6.81,5.06
0.03,14.85,4.1,517.94
8.91,4.75,4.83,8.13
0.03,7.96,7.62,470.75
1.83,2.48,0.24,2.88
0.03,6.92,25.07,0.68
0.03,5.25,8.46,8.18
