<1h,1-3h,3-6h,>6h
3.71, 27.49
3.7, 26.99
7.53, 5.26
8.81, 208.84
33.27, 14.02
9.53, 16.59
18.2, 10.61
2.12, 1.74
0.16, 0.55
0.0, 23.49
21.8, 4.59
0.03, 26.85
1.45, 33.81
10.75, 49.6
5.42, 45.11
4.78, 21.82
2.13, 8.66
2.6, 0.06
5.68, 31.43
7.51, 7.73
14.1, 32.33
3.8, 43.92
10.47, 20.04
1.6, 28.82
3.3, 48.77
2.42, 1.58
1.34, 8.06
2.06, 13.92
3.11, 32.69
1.58, 12.05
2.62, 201.31
5.99, 58.06
9.86, 13.87
7.11, 24.4
2.55, 66.67
3.2, 8.06
10.52, 3.08
2.65, 10.9
20.33, 84.19
15.15, 23.19
5.41, 9.06
3.34, 4.59
5.84, 0.68
12.21, 41.06
3.17, 19.94
4.77, 30.05
0.98, 8.67
12.0, 23.58
4.18, 25.09
5.75, 13.13
18.83, 18.25
4.37, 53.01
4.56, 18.31
0.24, 15.86
0.12, 1.57
30.64, 54.02
18.23, 47.05
0.59, 8.26
2.79, 25.08
9.4, 2.27
2.37, 21.25
1.89, 52.62
8.06, 77.89
1.18, 2.61
11.97, 3.08
3.43, 21.51
5.42, 24.32
3.74, 33.44
6.51, 11.56
3.16, 15.89
10.16, 52.54
14.24, 24.4
19.58, 10.15
14.19, 21.86
2.67, 2.52
3.88, 50.17
18.24, 63.98
7.23, 1.39
4.69, 30.91
2.56, 20.68
2.84, 6.58
13.16, 21.86
4.12, 4.93
3.94, 29.48
13.82, 13.24
4.08, 75.99
0.11, 8.78
28.78, 26.48
6.12, 1.75
0.61, 156.6
10.64, 31.55
5.13, 15.8
7.8, 10.04
8.24, 5.39
3.21, 120.02
9.17, 31.65
